Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Anthony Gill,PF,28,WAS,11,1,6.0,0.3,0.9,.300,0.1,0.6,.143,0.2,0.3,.667,.350,0.3,0.4,.750,0.3,1.5,1.7,0.3,0.3,0.2,0.3,0.3,0.9
Rudy Gobert,C,28,UTA,34,34,30.4,5.4,8.3,.647,0.0,0.0,.000,5.4,8.3,.649,.647,3.2,5.4,.595,3.3,10.0,13.4,1.3,0.4,2.7,1.8,2.2,14.0
Brandon Goodwin,PG,25,ATL,24,0,12.0,1.5,4.4,.330,0.6,2.2,.283,0.8,2.2,.377,.401,0.7,1.0,.708,0.1,1.0,1.1,1.8,0.4,0.0,0.5,1.0,4.3
Aaron Gordon,PF,25,ORL,19,19,29.1,4.8,11.2,.427,1.6,4.4,.369,3.2,6.8,.465,.500,2.6,4.2,.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2.0,13.8
Eric Gordon,SG,32,HOU,26,12,29.3,5.9,13.5,.437,2.5,7.7,.328,3.3,5.7,.584,.531,3.5,4.2,.836,0.3,1.9,2.2,2.7,0.5,0.5,1.9,1.6,17.8
Devonte' Graham,PG,25,CHO,25,25,32.8,4.4,12.4,.352,2.8,8.1,.347,1.6,4.3,.361,.465,2.2,2.8,.775,0.6,2.4,3.0,5.7,1.0,0.0,1.4,1.5,13.7
Jerami Grant,SF,26,DET,33,33,36.2,7.7,17.8,.433,2.5,6.8,.363,5.2,11.0,.477,.503,5.6,6.3,.889,0.7,4.6,5.3,2.9,0.8,1.1,1.9,2.7,23.4
Danny Green,SF,33,PHI,34,34,28.7,3.1,7.6,.400,2.3,6.0,.384,0.8,1.7,.456,.550,0.4,0.6,.650,0.9,2.7,3.6,1.8,1.3,0.8,1.3,1.9,8.8
Draymond Green,PF,30,GSW,30,30,29.4,2.2,5.6,.391,0.4,1.9,.224,1.8,3.7,.477,.429,0.9,1.3,.711,0.7,5.3,6.0,8.5,1.4,0.7,2.7,3.2,5.7
JaMychal Green,PF,30,DEN,25,4,20.5,3.2,7.2,.444,1.6,3.8,.427,1.6,3.4,.464,.558,1.1,1.3,.844,1.6,4.4,6.0,1.0,0.6,0.3,1.0,2.7,9.1
Javonte Green,SG,27,BOS,22,2,15.0,1.8,3.2,.549,0.3,1.0,.318,1.5,2.2,.653,.599,0.9,1.4,.667,0.9,1.4,2.3,0.5,0.8,0.1,0.5,1.3,4.8
Jeff Green,C,34,BRK,33,16,26.4,3.4,6.8,.507,1.5,3.5,.422,1.9,3.2,.598,.617,1.2,1.5,.796,0.5,3.1,3.6,1.4,0.7,0.2,0.8,1.9,9.5
Josh Green,SG,20,DAL,17,5,12.5,1.0,2.1,.472,0.1,0.7,.167,0.9,1.4,.625,.500,0.4,0.6,.545,0.7,1.6,2.3,0.6,0.2,0.1,0.6,0.9,2.5
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
Kyle Guy,PG,23,SAC,14,0,8.2,1.0,3.1,.318,0.4,1.7,.250,0.6,1.4,.400,.386,0.5,0.6,.875,0.2,0.8,1.0,1.1,0.3,0.0,0.2,0.6,2.9
Rui Hachimura,PF,22,WAS,25,25,30.2,4.7,10.2,.461,0.8,2.6,.297,3.9,7.6,.516,.498,2.7,3.5,.782,1.1,4.6,5.7,1.8,0.7,0.1,1.0,2.2,12.8
Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Tyrese Haliburton,PG,20,SAC,30,2,30.1,5.1,10.3,.494,2.4,5.5,.433,2.7,4.9,.562,.608,0.7,0.8,.833,1.0,2.6,3.6,5.4,1.4,0.6,1.5,1.2,13.2
Josh Hall,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
R.J. Hampton,PG,19,DEN,24,0,9.2,1.0,2.4,.414,0.2,0.8,.278,0.8,1.7,.475,.457,0.3,0.4,.700,0.4,1.5,2.0,0.5,0.2,0.1,0.5,0.9,2.5
Tim Hardaway Jr.,SG,28,DAL,31,17,29.7,5.9,13.3,.443,3.0,7.7,.392,2.8,5.5,.515,.557,1.9,2.4,.800,0.3,2.8,3.1,1.6,0.6,0.2,0.8,1.6,16.7
James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
James Harden,PG,31,BRK,21,21,38.0,8.0,16.4,.488,3.3,7.9,.418,4.7,8.5,.553,.589,5.8,6.8,.859,0.8,7.6,8.4,11.1,1.1,0.7,4.2,2.4,25.1
Maurice Harkless,SF,27,MIA,10,3,10.9,0.4,1.0,.400,0.4,0.8,.500,0.0,0.2,.000,.600,0.0,0.2,.000,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2
Jared Harper,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,0,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Montrezl Harrell,C,27,LAL,35,0,24.0,5.5,8.8,.630,0.0,0.1,.000,5.5,8.7,.640,.630,2.6,3.5,.752,2.3,4.1,6.4,1.1,0.7,0.7,1.1,2.1,13.7
Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
Jalen Harris,SG,22,TOR,2,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0
Joe Harris,SF,29,BRK,35,31,30.9,5.5,10.3,.531,3.4,6.7,.504,2.1,3.5,.581,.696,0.6,0.8,.690,0.5,3.1,3.6,1.8,0.5,0.2,0.8,2.3,14.9
Tobias Harris,PF,28,PHI,30,30,34.3,7.7,15.1,.513,1.7,4.1,.411,6.0,10.9,.552,.570,3.0,3.4,.891,1.2,6.3,7.5,3.4,0.8,0.8,1.9,2.1,20.2
Shaquille Harrison,SG,27,UTA,17,0,3.3,0.4,1.2,.300,0.0,0.1,.000,0.4,1.1,.333,.300,0.3,0.4,.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0
Josh Hart,SF,25,NOP,33,2,28.3,3.1,7.0,.440,1.4,4.1,.338,1.7,2.9,.583,.539,1.3,1.8,.724,1.0,6.4,7.4,2.1,0.8,0.2,0.7,2.2,8.8
Isaiah Hartenstein,C,22,DEN,23,0,9.2,1.5,3.0,.500,0.0,0.0,0,1.5,3.0,.500,.500,0.8,1.4,.594,1.4,1.3,2.8,0.5,0.4,0.6,0.8,2.0,3.9
Jaxson Hayes,C,20,NOP,23,1,12.1,1.7,2.5,.655,0.0,0.0,0,1.7,2.5,.655,.655,0.8,1.2,.679,1.2,2.3,3.5,0.4,0.3,0.3,0.7,1.9,4.1
Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
Gordon Hayward,SF,30,CHO,30,30,34.9,7.8,16.2,.485,2.1,5.1,.421,5.7,11.1,.514,.551,3.7,4.3,.860,0.9,4.5,5.4,3.7,1.2,0.4,2.0,1.8,21.5
Juan Hernangómez,PF,25,MIN,17,6,15.9,2.1,5.3,.400,0.9,3.1,.302,1.2,2.2,.541,.489,0.8,1.1,.684,0.8,3.6,4.4,0.6,0.4,0.1,0.4,0.8,5.9
Willy Hernangómez,C,26,NOP,18,2,17.9,2.9,5.6,.525,0.1,0.3,.200,2.9,5.3,.542,.530,1.3,2.0,.667,2.8,4.3,7.1,1.1,0.4,0.5,0.6,1.3,7.3
Tyler Herro,SG,21,MIA,23,14,33.2,6.4,14.2,.450,2.0,5.9,.348,4.3,8.3,.521,.521,1.9,2.5,.772,0.4,5.5,5.9,3.8,0.5,0.4,2.6,1.7,16.7
Buddy Hield,SG,28,SAC,34,34,34.5,5.3,14.0,.377,3.8,10.2,.369,1.5,3.8,.398,.512,1.6,1.9,.844,0.3,4.1,4.4,3.1,0.8,0.3,1.8,2.6,15.9
George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
Solomon Hill,PF,29,ATL,34,1,18.9,1.5,4.1,.360,1.0,3.0,.320,0.5,1.1,.472,.478,0.4,0.5,.882,0.5,1.9,2.3,0.9,0.7,0.2,0.5,1.6,4.4
Nate Hinton,SG,21,DAL,6,0,3.2,0.5,2.2,.231,0.2,0.8,.200,0.3,1.3,.250,.269,0.2,0.3,.500,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3
Aaron Holiday,PG,24,IND,32,6,19.7,2.8,7.7,.370,1.1,3.2,.350,1.7,4.5,.385,.443,0.8,1.1,.714,0.2,1.1,1.3,1.8,0.6,0.1,0.8,1.8,7.6
Jrue Holiday,PG,30,MIL,24,23,31.8,6.3,12.7,.497,1.8,4.8,.377,4.5,7.9,.568,.567,1.4,1.8,.791,1.2,3.4,4.6,5.3,1.8,0.6,1.6,1.7,15.8
Justin Holiday,SG,31,IND,32,23,32.3,3.9,8.5,.465,2.5,5.9,.418,1.5,2.6,.573,.611,1.3,1.6,.820,0.7,3.5,4.2,1.7,1.2,0.4,0.8,2.3,11.6
Richaun Holmes,C,27,SAC,30,30,29.4,5.5,8.4,.657,0.0,0.2,.167,5.5,8.2,.669,.659,1.9,2.4,.806,2.5,5.7,8.2,1.7,0.7,1.5,1.4,4.0,13.0
Rodney Hood,SF,28,POR,27,5,18.8,2.0,5.6,.364,0.6,2.1,.293,1.4,3.4,.409,.421,0.2,0.3,.625,0.2,1.4,1.6,1.1,0.6,0.1,0.8,1.4,4.9
Al Horford,C,34,OKC,23,23,28.2,5.8,13.0,.443,2.0,5.6,.364,3.7,7.4,.503,.522,0.6,0.8,.778,0.9,5.9,6.8,3.6,0.9,0.8,1.1,1.7,14.2
Talen Horton-Tucker,SG,20,LAL,31,1,17.4,2.7,6.3,.436,0.5,1.8,.281,2.2,4.5,.500,.477,0.9,1.1,.818,0.3,2.1,2.4,2.0,0.8,0.6,1.3,2.0,6.9
Danuel House,SF,27,HOU,21,11,28.1,3.2,8.6,.376,1.6,5.1,.308,1.7,3.5,.473,.467,1.3,1.7,.771,0.8,3.2,4.0,2.0,0.7,0.6,1.0,2.0,9.3
Dwight Howard,C,35,PHI,34,4,16.1,2.1,3.8,.570,0.1,0.3,.300,2.1,3.5,.593,.582,1.5,2.8,.532,2.6,4.9,7.5,0.7,0.4,0.9,1.8,3.0,5.9
Markus Howard,SG,21,DEN,17,0,3.2,0.4,1.8,.194,0.2,1.3,.136,0.2,0.5,.333,.242,0.1,0.1,.500,0.0,0.3,0.3,0.4,0.1,0.0,0.2,0.4,0.9
Kevin Huerter,SG,22,ATL,34,23,32.1,4.5,10.7,.424,2.1,5.9,.367,2.4,4.8,.494,.525,0.7,0.9,.806,0.7,2.9,3.6,3.7,1.3,0.2,1.3,2.4,11.9
Elijah Hughes,SF,22,UTA,6,0,4.5,0.8,2.5,.333,0.5,1.7,.300,0.3,0.8,.400,.433,0.5,0.7,.750,0.0,0.7,0.7,0.5,0.2,0.2,0.7,0.0,2.7
De'Andre Hunter,SF,23,ATL,18,18,32.2,6.0,11.7,.514,1.7,4.6,.366,4.3,7.1,.609,.586,3.6,4.1,.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2
Chandler Hutchison,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
Serge Ibaka,C,31,LAC,35,35,24.0,4.7,9.2,.516,1.0,2.9,.360,3.7,6.3,.586,.571,1.0,1.3,.818,1.7,5.1,6.8,1.7,0.3,1.2,1.2,1.9,11.5
Andre Iguodala,SF,37,MIA,32,2,21.6,1.7,4.3,.399,1.2,3.3,.349,0.6,1.0,.563,.533,0.2,0.4,.538,0.6,3.2,3.8,2.3,1.0,0.5,1.1,1.5,4.8
Joe Ingles,SF,33,UTA,30,9,26.6,4.1,7.8,.519,2.5,5.4,.460,1.6,2.4,.653,.679,1.1,1.3,.895,0.4,2.9,3.3,4.6,0.4,0.2,1.5,1.7,11.8
Brandon Ingram,SF,23,NOP,33,33,35.1,8.5,18.2,.469,2.5,6.5,.380,6.0,11.6,.520,.538,4.6,5.3,.879,0.6,4.7,5.2,4.7,0.7,0.8,2.3,1.9,24.2
Kyrie Irving,PG,28,BRK,24,24,35.3,10.5,20.1,.521,2.8,6.9,.398,7.7,13.2,.585,.589,3.7,4.1,.899,1.2,3.5,4.7,5.9,1.2,0.6,2.4,2.9,27.4
Wesley Iwundu,SF,26,DAL,19,3,12.8,0.7,2.5,.298,0.2,1.2,.130,0.6,1.3,.458,.330,0.5,0.6,.818,0.3,1.6,1.8,0.4,0.4,0.2,0.3,1.1,2.1
Frank Jackson,PG,22,DET,9,0,6.0,0.7,2.4,.273,0.4,1.4,.308,0.2,1.0,.222,.364,0.0,0.0,0,0.0,0.9,0.9,1.1,0.1,0.0,0.4,0.6,1.8
Josh Jackson,SG,23,DET,32,6,24.9,4.8,11.3,.425,1.3,4.4,.291,3.5,6.9,.511,.482,2.6,3.8,.694,1.1,3.3,4.4,1.9,0.9,0.9,2.3,2.9,13.5
Justin Jackson,SF,25,OKC,23,2,16.8,2.6,6.1,.426,1.0,3.2,.311,1.6,2.9,.552,.507,0.7,0.9,.800,0.4,1.9,2.3,1.6,0.4,0.0,0.9,1.0,6.9
Reggie Jackson,SG,30,LAC,33,14,19.5,3.0,6.8,.438,1.2,3.1,.379,1.8,3.7,.488,.524,0.9,1.2,.756,0.4,2.2,2.5,2.9,0.6,0.1,0.9,1.8,8.1
Justin James,SF,24,SAC,13,0,5.3,0.7,1.8,.391,0.2,0.7,.222,0.5,1.1,.500,.435,0.2,0.6,.250,0.2,0.5,0.7,0.4,0.2,0.1,0.2,0.2,1.7
LeBron James,PG,36,LAL,35,35,34.5,9.5,18.9,.504,2.4,6.6,.358,7.2,12.3,.582,.566,4.0,5.8,.695,0.6,7.5,8.1,7.8,1.1,0.6,3.8,1.6,25.5
DaQuan Jeffries,SG,23,SAC,10,2,17.6,2.1,5.0,.420,0.8,2.4,.333,1.3,2.6,.500,.500,0.6,0.7,.857,0.6,1.4,2.0,0.4,0.5,0.4,0.5,1.6,5.6
Ty Jerome,SG,23,OKC,2,0,26.0,5.0,9.5,.526,2.0,5.5,.364,3.0,4.0,.750,.632,0.0,0.0,0,1.0,2.0,3.0,4.5,1.0,0.0,0.5,3.0,12.0
Isaiah Joe,SG,21,PHI,20,1,12.0,1.5,4.0,.367,1.2,3.0,.383,0.3,1.0,.316,.513,0.3,0.3,1.000,0.3,0.9,1.2,0.8,0.4,0.2,0.3,1.1,4.3
Cameron Johnson,PF,24,PHO,33,9,24.3,3.7,8.5,.434,2.1,5.7,.370,1.6,2.8,.565,.559,1.0,1.1,.865,0.6,2.9,3.5,1.4,0.7,0.3,0.8,1.4,10.5
James Johnson,PF,33,DAL,26,1,18.1,2.5,5.2,.478,0.6,2.2,.268,1.9,3.1,.625,.533,0.5,0.9,.542,0.5,2.6,3.0,1.7,0.9,0.8,1.0,2.1,6.1
Keldon Johnson,SF,21,SAS,27,27,30.1,5.3,11.4,.468,1.0,3.0,.325,4.4,8.4,.518,.510,2.9,3.7,.778,1.7,5.2,7.0,2.3,0.8,0.5,1.5,2.3,14.5
Stanley Johnson,PF,24,TOR,30,1,12.9,0.9,2.2,.394,0.5,1.4,.390,0.3,0.8,.400,.515,0.4,0.5,.786,0.5,1.7,2.2,1.3,0.7,0.3,0.7,1.5,2.6
Tyler Johnson,SG,28,BRK,16,1,13.1,1.6,4.0,.406,1.2,2.8,.422,0.4,1.2,.368,.555,0.3,0.3,1.000,0.1,1.3,1.4,0.9,0.4,0.0,0.3,0.6,4.7
Nikola Jokić,C,25,DEN,33,33,35.8,10.2,18.2,.564,1.6,3.8,.421,8.6,14.3,.603,.609,4.6,5.2,.879,2.8,8.1,10.9,8.5,1.7,0.6,3.2,3.0,26.7
Damian Jones,C,25,TOT,15,0,6.8,0.7,1.3,.579,0.0,0.1,.000,0.7,1.2,.611,.579,0.5,0.9,.615,0.5,0.9,1.4,0.3,0.1,0.5,0.4,1.4,2.0
Damian Jones,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
Derrick Jones Jr.,SF,23,POR,28,27,27.4,3.1,6.1,.509,0.8,2.5,.310,2.3,3.6,.650,.573,1.3,2.0,.614,1.9,3.0,4.9,0.8,0.8,1.1,0.8,2.5,8.3
Mason Jones,SG,22,HOU,20,1,11.3,1.8,4.0,.438,0.9,2.3,.391,0.9,1.7,.500,.550,1.4,2.1,.643,0.2,2.0,2.2,1.3,0.3,0.0,1.2,1.0,5.8
Tre Jones,PG,21,SAS,10,0,3.9,0.8,1.4,.571,0.1,0.1,1.000,0.7,1.3,.538,.607,0.5,0.5,1.000,0.4,0.0,0.4,0.2,0.0,0.0,0.3,0.3,2.2
Tyus Jones,PG,24,MEM,30,8,22.1,3.5,7.9,.447,0.8,2.7,.296,2.7,5.2,.526,.498,0.6,0.7,.850,0.5,2.0,2.5,4.8,1.3,0.1,0.9,0.5,8.4
DeAndre Jordan,C,32,BRK,33,24,22.3,3.2,4.2,.781,0.0,0.0,.000,3.2,4.1,.787,.781,0.8,1.6,.500,1.7,5.5,7.2,1.8,0.3,1.5,1.7,2.2,7.3
Cory Joseph,PG,29,SAC,34,2,20.1,2.4,5.4,.432,0.6,2.0,.299,1.8,3.5,.508,.486,0.8,1.0,.771,0.6,1.6,2.2,2.3,0.7,0.2,1.0,2.3,6.1
Mfiondu Kabengele,PF,23,LAC,20,0,4.1,0.4,1.3,.269,0.2,0.8,.200,0.2,0.6,.364,.327,0.2,0.2,.750,0.1,0.5,0.6,0.3,0.1,0.2,0.3,0.7,1.0
Frank Kaminsky,C,27,PHO,26,11,15.5,2.8,6.2,.453,1.0,2.4,.419,1.8,3.8,.475,.534,0.7,1.1,.586,0.8,3.1,3.8,1.7,0.3,0.4,0.5,1.5,7.3
Enes Kanter,C,28,POR,32,20,26.2,4.9,8.5,.579,0.0,0.0,0,4.9,8.5,.579,.579,1.8,2.5,.747,4.2,7.4,11.5,1.2,0.5,0.7,1.1,2.7,11.7
Luke Kennard,SG,24,LAC,32,7,20.6,2.8,6.1,.459,1.5,3.4,.440,1.3,2.7,.482,.582,0.4,0.5,.867,0.3,2.4,2.7,1.7,0.3,0.2,0.9,1.6,7.5
Maxi Kleber,PF,29,DAL,20,14,25.5,2.1,4.8,.432,1.7,3.6,.458,0.4,1.2,.348,.605,1.0,1.0,.950,0.9,4.4,5.2,1.4,0.4,0.8,0.5,2.3,6.7
Nathan Knight,PF,23,ATL,10,0,5.8,0.9,2.3,.391,0.3,0.9,.333,0.6,1.4,.429,.457,0.7,0.8,.875,0.8,0.7,1.5,0.1,0.2,0.3,0.5,0.7,2.8
Kevin Knox,SF,21,NYK,25,0,15.1,1.8,4.6,.395,1.0,2.7,.388,0.8,1.9,.404,.509,0.4,0.5,.833,0.4,1.6,1.9,0.7,0.3,0.2,0.6,1.3,5.0
John Konchar,SG,24,MEM,19,0,16.2,1.5,3.5,.424,0.4,1.2,.304,1.1,2.3,.488,.477,0.8,0.9,.889,0.9,2.6,3.6,1.2,0.9,0.3,0.4,1.4,4.2
Furkan Korkmaz,SG,23,PHI,23,3,18.8,2.7,7.0,.377,1.4,4.3,.323,1.3,2.7,.460,.475,0.9,1.1,.800,0.2,2.3,2.5,0.8,0.6,0.1,0.9,1.2,7.6
Luke Kornet,PF,25,CHI,9,0,8.0,0.8,2.4,.318,0.4,2.0,.222,0.3,0.4,.750,.409,0.2,0.2,1.000,0.1,1.6,1.7,0.3,0.2,0.7,0.1,0.1,2.2
Rodions Kurucs,PF,22,BRK,5,0,3.2,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,.500,0.0,0.0,0,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6
Rodions Kurucs,SF,22,HOU,11,0,6.8,0.5,1.9,.238,0.2,1.4,.133,0.3,0.5,.500,.286,0.1,0.2,.500,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6,1.2
Kyle Kuzma,SF,25,LAL,35,10,25.6,4.3,9.9,.441,1.7,4.8,.363,2.6,5.1,.514,.529,0.7,1.0,.657,2.0,4.5,6.5,1.1,0.4,0.7,1.5,1.7,11.1
Jeremy Lamb,SG,28,IND,19,8,23.7,3.8,7.8,.490,1.8,3.7,.479,2.1,4.1,.500,.604,2.3,2.4,.935,0.8,3.0,3.8,1.5,0.8,0.6,0.8,2.1,11.7
Zach LaVine,SG,25,CHI,32,32,35.7,10.3,19.6,.524,3.6,8.1,.442,6.7,11.5,.582,.615,4.5,5.3,.857,0.7,4.5,5.2,5.0,1.1,0.4,3.9,2.7,28.7
Jake Layman,SF,26,MIN,23,3,15.0,2.3,4.7,.500,0.6,1.9,.318,1.7,2.8,.625,.565,0.8,1.0,.783,0.3,1.3,1.6,0.7,0.8,0.5,0.7,1.2,6.1
Jalen Lecque,PG,20,IND,3,0,3.0,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,1.0,1.0,1.000,0.3,1.0,1.3,0.7,0.0,0.0,0.0,0.0,1.7
Damion Lee,SG,28,GSW,35,0,19.2,2.1,4.6,.444,1.4,3.6,.386,0.7,1.0,.657,.596,0.8,0.9,.903,0.4,3.0,3.4,1.4,0.7,0.1,0.5,1.6,6.3
Saben Lee,PG,21,DET,13,0,15.0,2.2,4.2,.537,0.3,0.5,.667,1.9,3.7,.521,.574,1.5,2.3,.633,0.3,0.9,1.2,1.9,0.8,0.2,0.8,1.7,6.2
Alex Len,C,27,TOT,25,6,13.3,2.1,3.3,.634,0.2,0.8,.300,1.8,2.5,.742,.671,1.0,1.7,.571,0.7,2.2,3.0,0.9,0.4,1.2,1.0,1.8,5.4
Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
Alex Len,C,27,WAS,18,4,14.3,2.6,4.0,.653,0.2,0.8,.214,2.4,3.2,.759,.674,1.2,2.0,.583,1.0,2.5,3.5,1.1,0.4,1.3,1.0,1.9,6.6
Kawhi Leonard,SF,29,LAC,29,29,34.7,9.7,18.9,.511,2.0,5.1,.389,7.7,13.8,.556,.564,5.5,6.3,.874,1.0,5.3,6.3,4.9,1.6,0.6,1.9,1.5,26.8
Meyers Leonard,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,0,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
Caris LeVert,SG,26,BRK,12,4,27.8,7.3,16.7,.435,1.8,5.3,.349,5.4,11.4,.474,.490,2.2,2.8,.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,1.7,18.5
Kira Lewis Jr.,PG,19,NOP,20,0,12.8,1.9,5.0,.374,0.6,1.8,.343,1.3,3.2,.391,.434,0.7,1.0,.650,0.1,0.7,0.8,1.9,0.6,0.1,0.5,1.1,5.0
Damian Lillard,PG,30,POR,31,31,35.9,9.3,20.8,.447,4.2,11.0,.379,5.1,9.8,.523,.547,7.1,7.5,.936,0.5,3.9,4.4,8.0,1.0,0.3,3.3,1.6,29.8
Nassir Little,PF,20,POR,17,2,11.1,1.6,3.0,.529,0.8,1.6,.519,0.8,1.4,.542,.667,0.9,1.0,.882,0.8,1.5,2.2,0.2,0.2,0.3,0.5,0.9,4.9
Kevon Looney,C,24,GSW,25,9,14.8,1.6,2.5,.619,0.1,0.2,.400,1.5,2.3,.638,.635,0.5,0.7,.765,1.5,2.5,4.0,1.7,0.3,0.3,0.6,1.8,3.7
Brook Lopez,C,32,MIL,34,34,27.1,3.9,8.3,.466,1.6,4.4,.356,2.3,3.9,.590,.560,1.4,1.7,.807,1.4,3.7,5.1,0.6,0.5,1.4,0.9,2.0,10.7
Robin Lopez,C,32,WAS,32,9,20.3,3.2,5.4,.580,0.1,0.4,.308,3.0,5.0,.602,.592,1.6,2.3,.689,2.3,2.0,4.3,0.9,0.3,0.6,1.1,1.9,8.0
Kevin Love,PF,32,CLE,2,2,23.0,3.0,9.0,.333,1.5,4.5,.333,1.5,4.5,.333,.417,2.0,2.5,.800,1.0,5.0,6.0,2.5,0.5,0.0,1.5,0.5,9.5
Kyle Lowry,PG,34,TOR,27,27,34.3,6.1,13.0,.466,2.9,7.0,.405,3.2,6.0,.537,.575,3.0,3.5,.863,0.8,4.9,5.7,6.6,1.2,0.2,2.9,3.3,18.0
Timothé Luwawu-Cabarrot,SF,25,BRK,34,6,19.7,2.5,6.5,.389,1.6,4.3,.363,1.0,2.2,.440,.509,0.6,0.8,.769,0.5,1.8,2.4,1.3,0.7,0.1,0.7,1.9,7.2
Trey Lyles,PF,25,SAS,16,4,14.2,1.6,3.3,.481,0.4,1.5,.292,1.1,1.8,.643,.548,0.6,1.1,.588,0.4,3.0,3.4,0.5,0.1,0.1,0.2,0.5,4.2
Thon Maker,C,23,CLE,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
Théo Maledon,PG,19,OKC,29,14,25.4,2.7,7.0,.391,1.5,4.1,.361,1.2,2.9,.434,.498,0.8,1.0,.733,0.2,2.6,2.8,3.3,1.0,0.1,1.8,2.2,7.7
Karim Mané,PG,20,ORL,6,0,9.3,0.2,1.5,.111,0.2,0.3,.500,0.0,1.2,.000,.167,0.7,0.7,1.000,0.0,1.7,1.7,0.2,0.0,0.2,0.5,0.5,1.2
Terance Mann,SG,24,LAC,33,3,15.2,1.8,3.7,.492,0.3,0.9,.355,1.5,2.8,.538,.537,0.7,1.0,.750,0.9,2.4,3.3,1.2,0.4,0.2,0.7,1.6,4.7
Nico Mannion,PG,19,GSW,6,0,6.0,0.5,2.2,.231,0.3,1.5,.222,0.2,0.7,.250,.308,0.2,0.7,.250,0.0,1.3,1.3,2.0,0.3,0.0,0.3,0.8,1.5
Boban Marjanović,C,32,DAL,18,1,7.8,2.0,4.0,.500,0.0,0.2,.000,2.0,3.8,.529,.500,0.6,0.8,.714,1.5,2.4,3.9,0.2,0.1,0.1,0.4,0.9,4.6
Lauri Markkanen,PF,23,CHI,14,14,30.4,6.8,13.2,.514,2.9,7.2,.396,3.9,6.0,.655,.622,2.7,3.2,.844,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1
